Category: All categories	
	
Week	pixar: (Worldwide)
9/24/11	27
10/1/11	81
10/8/11	43
10/15/11	36
10/22/11	37
10/29/11	37
11/5/11	37
11/12/11	43
11/19/11	45
11/26/11	40
12/3/11	39
12/10/11	38
12/17/11	37
12/24/11	41
12/31/11	45
1/7/12	37
1/14/12	34
1/21/12	36
1/28/12	32
2/4/12	32
2/11/12	31
2/18/12	33
2/25/12	36
3/3/12	32
3/10/12	29
3/17/12	31
3/24/12	29
3/31/12	31
4/7/12	31
4/14/12	29
4/21/12	31
4/28/12	31
5/5/12	30
5/12/12	31
5/19/12	33
5/26/12	34
6/2/12	38
6/9/12	43
6/16/12	62
6/23/12	63
6/30/12	56
7/7/12	46
7/14/12	47
7/21/12	41
7/28/12	40
8/4/12	42
8/11/12	40
8/18/12	37
8/25/12	35
9/1/12	34
9/8/12	33
9/15/12	32
9/22/12	31
9/29/12	29
10/6/12	31
10/13/12	30
10/20/12	31
10/27/12	41
11/3/12	38
11/10/12	37
11/17/12	39
11/24/12	38
12/1/12	35
12/8/12	33
12/15/12	33
12/22/12	42
12/29/12	43
1/5/13	35
1/12/13	31
1/19/13	29
1/26/13	31
2/2/13	32
2/9/13	32
2/16/13	32
2/23/13	33
3/2/13	31
3/9/13	31
3/16/13	32
3/23/13	33
3/30/13	42
4/6/13	30
4/13/13	29
4/20/13	28
4/27/13	29
5/4/13	28
5/11/13	29
5/18/13	29
5/25/13	32
6/1/13	30
6/8/13	33
6/15/13	41
6/22/13	48
6/29/13	44
7/6/13	48
7/13/13	65
7/20/13	50
7/27/13	46
8/3/13	46
8/10/13	44
8/17/13	40
8/24/13	37
8/31/13	34
9/7/13	33
9/14/13	34
9/21/13	31
9/28/13	32
10/5/13	35
10/12/13	35
10/19/13	33
10/26/13	34
11/2/13	34
11/9/13	34
11/16/13	35
11/23/13	35
11/30/13	34
12/7/13	33
12/14/13	32
12/21/13	41
12/28/13	41
1/4/14	33
1/11/14	34
1/18/14	36
1/25/14	36
2/1/14	33
2/8/14	32
2/15/14	33
2/22/14	48
3/1/14	35
3/8/14	30
3/15/14	44
3/22/14	39
3/29/14	37
4/5/14	35
4/12/14	39
4/19/14	38
4/26/14	41
5/3/14	37
5/10/14	32
5/17/14	30
5/24/14	32
5/31/14	31
6/7/14	29
6/14/14	29
6/21/14	29
6/28/14	27
7/5/14	28
7/12/14	29
7/19/14	28
7/26/14	29
8/2/14	27
8/9/14	27
8/16/14	26
8/23/14	28
8/30/14	26
9/6/14	25
9/13/14	27
9/20/14	25
9/27/14	34
10/4/14	30
10/11/14	27
10/18/14	27
10/25/14	27
11/1/14	31
11/8/14	31
11/15/14	29
11/22/14	28
11/29/14	30
12/6/14	45
12/13/14	36
12/20/14	37
12/27/14	36
1/3/15	30
1/10/15	28
1/17/15	28
1/24/15	27
1/31/15	29
2/7/15	29
2/14/15	30
2/21/15	30
2/28/15	28
3/7/15	32
3/14/15	31
3/21/15	30
3/28/15	29
4/4/15	29
4/11/15	25
4/18/15	27
4/25/15	30
5/2/15	24
5/9/15	27
5/16/15	33
5/23/15	31
5/30/15	34
6/6/15	34
6/13/15	55
6/20/15	100
6/27/15	74
7/4/15	62
7/11/15	57
7/18/15	58
7/25/15	54
8/1/15	47
8/8/15	51
8/15/15	58
8/22/15	46
8/29/15	41
9/5/15	39
9/12/15	38
9/19/15	39
9/26/15	40
10/3/15	43
10/10/15	40
10/17/15	39
10/24/15	39
10/31/15	38
11/7/15	40
11/14/15	37
11/21/15	46
11/28/15	40
12/5/15	38
12/12/15	35
12/19/15	40
12/26/15	42
1/2/16	35
1/9/16	32
1/16/16	30
1/23/16	30
1/30/16	30
2/6/16	31
2/13/16	30
2/20/16	30
2/27/16	32
3/5/16	31
3/12/16	31
3/19/16	33
3/26/16	32
4/2/16	28
4/9/16	28
4/16/16	26
4/23/16	27
4/30/16	25
5/7/16	25
5/14/16	27
5/21/16	29
5/28/16	27
6/4/16	28
6/11/16	37
6/18/16	43
6/25/16	38
7/2/16	37
7/9/16	29
7/16/16	43
7/23/16	28
7/30/16	26
8/6/16	24
8/13/16	25
8/20/16	25
8/27/16	24
9/3/16	24
9/10/16	27
9/17/16	25
