date,pixar,select,title
10/9/11,43,0,
10/16/11,36,0,
10/23/11,36,0,
10/30/11,38,0,
11/6/11,38,0,
11/13/11,42,0,
11/20/11,45,0,
11/27/11,40,0,
12/4/11,39,0,
12/11/11,37,0,
12/18/11,38,0,
12/25/11,40,0,
1/1/12,44,0,
1/8/12,37,0,
1/15/12,34,0,
1/22/12,36,0,
1/29/12,31,0,
2/5/12,32,0,
2/12/12,31,0,
2/19/12,33,0,
2/26/12,36,0,
3/4/12,31,0,
3/11/12,29,0,
3/18/12,30,0,
3/25/12,29,0,
4/1/12,31,0,
4/8/12,31,0,
4/15/12,30,0,
4/22/12,31,0,
4/29/12,31,0,
5/6/12,30,0,
5/13/12,31,0,
5/20/12,32,0,
5/27/12,35,0,
6/3/12,38,0,
6/10/12,43,0,
6/17/12,62,0,
6/24/12,62,1,Brave
7/1/12,55,0,
7/8/12,45,0,
7/15/12,47,0,
7/22/12,40,0,
7/29/12,41,0,
8/5/12,41,0,
8/12/12,40,0,
8/19/12,36,0,
8/26/12,35,0,
9/2/12,33,0,
9/9/12,33,0,
9/16/12,32,0,
9/23/12,32,0,
9/30/12,30,0,
10/7/12,31,0,
10/14/12,30,0,
10/21/12,31,0,
10/28/12,41,0,
11/4/12,38,0,
11/11/12,37,0,
11/18/12,38,0,
11/25/12,37,0,
12/2/12,35,0,
12/9/12,33,0,
12/16/12,33,0,
12/23/12,41,0,
12/30/12,43,0,
1/6/13,35,0,
1/13/13,30,0,
1/20/13,30,0,
1/27/13,31,0,
2/3/13,32,0,
2/10/13,32,0,
2/17/13,32,0,
2/24/13,32,0,
3/3/13,30,0,
3/10/13,30,0,
3/17/13,32,0,
3/24/13,33,0,
3/31/13,42,0,
4/7/13,30,0,
4/14/13,29,0,
4/21/13,29,0,
4/28/13,29,0,
5/5/13,28,0,
5/12/13,30,0,
5/19/13,28,0,
5/26/13,33,0,
6/2/13,30,0,
6/9/13,33,0,
6/16/13,41,0,
6/23/13,49,0,
6/30/13,44,0,
7/7/13,48,0,
7/14/13,63,1,Monsters University
7/21/13,50,0,
7/28/13,46,0,
8/4/13,47,0,
8/11/13,43,0,
8/18/13,41,0,
8/25/13,37,0,
9/1/13,34,0,
9/8/13,33,0,
9/15/13,34,0,
9/22/13,32,0,
9/29/13,33,0,
10/6/13,35,0,
10/13/13,36,0,
10/20/13,34,0,
10/27/13,34,0,
11/3/13,34,0,
11/10/13,35,0,
11/17/13,35,0,
11/24/13,35,0,
12/1/13,35,0,
12/8/13,34,0,
12/15/13,32,0,
12/22/13,41,0,
12/29/13,41,0,
1/5/14,32,0,
1/12/14,35,0,
1/19/14,35,0,
1/26/14,37,0,
2/2/14,33,0,
2/9/14,32,0,
2/16/14,34,0,
2/23/14,48,1,Disney on iTunes
3/2/14,36,0,
3/9/14,31,0,
3/16/14,45,0,
3/23/14,40,0,
3/30/14,36,0,
4/6/14,35,0,
4/13/14,39,0,
4/20/14,38,0,
4/27/14,40,0,
5/4/14,38,0,
5/11/14,32,0,
5/18/14,30,0,
5/25/14,32,0,
6/1/14,31,0,
6/8/14,29,0,
6/15/14,29,0,
6/22/14,29,0,
6/29/14,27,0,
7/6/14,27,0,
7/13/14,29,0,
7/20/14,29,0,
7/27/14,29,0,
8/3/14,29,0,
8/10/14,27,0,
8/17/14,26,0,
8/24/14,27,0,
8/31/14,27,0,
9/7/14,25,0,
9/14/14,27,0,
9/21/14,25,0,
9/28/14,35,0,
10/5/14,31,0,
10/12/14,27,0,
10/19/14,27,0,
10/26/14,27,0,
11/2/14,31,0,
11/9/14,31,0,
11/16/14,29,0,
11/23/14,29,0,
11/30/14,30,0,
12/7/14,45,1,Toy Story That Time Forgot
12/14/14,36,0,
12/21/14,37,0,
12/28/14,36,0,
1/4/15,30,0,
1/11/15,29,0,
1/18/15,28,0,
1/25/15,27,0,
2/1/15,29,0,
2/8/15,28,0,
2/15/15,31,0,
2/22/15,30,0,
3/1/15,28,0,
3/8/15,32,0,
3/15/15,31,0,
3/22/15,30,0,
3/29/15,30,0,
4/5/15,29,0,
4/12/15,25,0,
4/19/15,26,0,
4/26/15,31,0,
5/3/15,25,0,
5/10/15,26,0,
5/17/15,32,0,
5/24/15,30,0,
5/31/15,33,0,
6/7/15,34,0,
6/14/15,55,0,
6/21/15,100,1,Inside Out
6/28/15,75,0,
7/5/15,63,0,
7/12/15,57,0,
7/19/15,58,0,
7/26/15,55,0,
8/2/15,46,0,
8/9/15,51,0,
8/16/15,57,0,
8/23/15,47,0,
8/30/15,41,0,
9/6/15,39,0,
9/13/15,39,0,
9/20/15,40,0,
9/27/15,40,0,
10/4/15,43,0,
10/11/15,39,0,
10/18/15,39,0,
10/25/15,39,0,
11/1/15,38,0,
11/8/15,40,0,
11/15/15,37,0,
11/22/15,46,1,The Good Dinosaur
11/29/15,40,0,
12/6/15,38,0,
12/13/15,35,0,
12/20/15,40,0,
12/27/15,42,0,
1/3/16,35,0,
1/10/16,32,0,
1/17/16,31,0,
1/24/16,31,0,
1/31/16,31,0,
2/7/16,31,0,
2/14/16,30,0,
2/21/16,30,0,
2/28/16,33,0,
3/6/16,31,0,
3/13/16,32,0,
3/20/16,33,0,
3/27/16,32,0,
4/3/16,28,0,
4/10/16,28,0,
4/17/16,26,0,
4/24/16,27,0,
5/1/16,25,0,
5/8/16,26,0,
5/15/16,27,0,
5/22/16,29,0,
5/29/16,28,0,
6/5/16,28,0,
6/12/16,37,0,
6/19/16,45,1,Finding Dory
6/26/16,38,0,
7/3/16,37,0,
7/10/16,30,0,
7/17/16,44,0,
7/24/16,29,0,
7/31/16,27,0,
8/7/16,25,0,
8/14/16,24,0,
8/21/16,25,0,
8/28/16,24,0,
9/4/16,24,0,
9/11/16,27,0,
9/18/16,25,0,
9/25/16,24,0,
10/2/16,26,0,
